Questionnaire,Year Reported to CDP,Account Number,Organization,Country,CDP Region,Parent Section,Section,Question Number,Question Name,Column Number,Column Name,Response Answer,Comments,File Name,Last update,hazard
Cities 2020,2020,841964,"City of Hallandale Beach, FL",United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Storm and wind > Storm surge,NA,NA,09/07/2020 09:45:36 AM, Storm surge
Cities 2020,2020,60599,"Town of Bridgewater, NS",Canada,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Flood and sea level rise > Flash / surface flood,NA,NA,09/07/2020 09:45:36 AM, Flash / surface flood
Cities 2020,2020,50794,Prefeitura Municipal de Caieiras,Brazil,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Mass movement > Landslide,NA,NA,09/07/2020 09:45:36 AM, Landslide
Cities 2020,2020,31184,Prefeitura de São Paulo,Brazil,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Storm and wind > Severe wind,NA,NA,09/07/2020 09:45:36 AM, Severe wind
Cities 2020,2020,60409,Municipalidad Provincial de Callao,Peru,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Flood and sea level rise > Coastal flood,NA,NA,09/07/2020 09:45:36 AM, Coastal flood
Cities 2020,2020,31109,City of Melbourne,Australia,Southeast Asia and Oceania,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Flood and sea level rise > Flash / surface flood,NA,NA,09/07/2020 09:45:36 AM, Flash / surface flood
Cities 2020,2020,68388,Prefeitura de Morungaba,Brazil,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,60273,Prefeitura de Extrema,Brazil,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,73650,Armstrong,Argentina,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme Precipitation > Fog,NA,NA,09/07/2020 09:45:36 AM, Fog
Cities 2020,2020,50551,City of Long Beach,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Water Scarcity > Drought,NA,NA,09/07/2020 09:45:36 AM, Drought
Cities 2020,2020,59167,Municipalidad de Providencia,Chile,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Chemical change > Atmospheric CO2 concentrations,NA,NA,09/07/2020 09:45:36 AM, Atmospheric CO2 concentrations
Cities 2020,2020,36274,Comune di Bologna,Italy,Europe,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Flood and sea level rise > Flash / surface flood,NA,NA,09/07/2020 09:45:36 AM, Flash / surface flood
Cities 2020,2020,73645,KwaDukuza,South Africa,Africa,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Chemical change > Atmospheric CO2 concentrations,NA,NA,09/07/2020 09:45:36 AM, Atmospheric CO2 concentrations
Cities 2020,2020,50354,Alcaldía de Tegucigalpa,Honduras,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Mass movement > Landslide,NA,NA,09/07/2020 09:45:36 AM, Landslide
Cities 2020,2020,54100,"City of Columbia, MO",United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Water Scarcity > Drought,NA,NA,09/07/2020 09:45:36 AM, Drought
Cities 2020,2020,35848,Municipality of Belo Horizonte,Brazil,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,31113,City of Yokohama,Japan,East Asia,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme hot temperature > Extreme hot days,NA,NA,09/07/2020 09:45:36 AM, Extreme hot days
Cities 2020,2020,54048,City of Knoxville,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Flood and sea level rise > Flash / surface flood,NA,NA,09/07/2020 09:45:36 AM, Flash / surface flood
Cities 2020,2020,50541,City of Greensboro,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Storm and wind > Cyclone (Hurricane / Typhoon),NA,NA,09/07/2020 09:45:36 AM, Cyclone (Hurricane / Typhoon)
Cities 2020,2020,36262,Comune di Genova,Italy,Europe,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Wild fire > Forest fire,NA,NA,09/07/2020 09:45:36 AM, Forest fire
Cities 2020,2020,69850,Municipalidad de Comas,Peru,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme hot temperature > Heat wave,NA,NA,09/07/2020 09:45:36 AM, Heat wave
Cities 2020,2020,73295,"City of La Crosse, WI",United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Flood and sea level rise > Flash / surface flood,NA,NA,09/07/2020 09:45:36 AM, Flash / surface flood
Cities 2020,2020,58796,Odder Kommune,Denmark,Europe,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Flood and sea level rise > Flash / surface flood,NA,NA,09/07/2020 09:45:36 AM, Flash / surface flood
Cities 2020,2020,50794,Prefeitura Municipal de Caieiras,Brazil,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Wild fire > Forest fire,NA,NA,09/07/2020 09:45:36 AM, Forest fire
Cities 2020,2020,73645,KwaDukuza,South Africa,Africa,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,43914,City of Charlotte,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Chemical change > Atmospheric CO2 concentrations,NA,NA,09/07/2020 09:45:36 AM, Atmospheric CO2 concentrations
Cities 2020,2020,74594,City of Boynton Beach,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Chemical change > Ocean acidification,NA,NA,09/07/2020 09:45:36 AM, Ocean acidification
Cities 2020,2020,35870,City of Miami,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Flood and sea level rise > Permanent inundation,NA,NA,09/07/2020 09:45:36 AM, Permanent inundation
Cities 2020,2020,59537,"City of Denton, TX",United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme hot temperature > Heat wave,NA,NA,09/07/2020 09:45:36 AM, Heat wave
Cities 2020,2020,73725,Guaminí,Argentina,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Biological hazards > Vector-borne disease,NA,NA,09/07/2020 09:45:36 AM, Vector-borne disease
Cities 2020,2020,840269,"Town of Whitby, ON",Canada,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Flood and sea level rise > Coastal flood,NA,NA,09/07/2020 09:45:36 AM, Coastal flood
Cities 2020,2020,54517,City Örebro,Sweden,Europe,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme Precipitation > Heavy snow,NA,NA,09/07/2020 09:45:36 AM, Heavy snow
Cities 2020,2020,59563,"City of Takoma Park, MD",United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Storm and wind > Tornado,NA,NA,09/07/2020 09:45:36 AM, Tornado
Cities 2020,2020,826236,Prefeitura de Tremembé,Brazil,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,20113,City of Vancouver,Canada,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Biological hazards > Insect infestation,NA,NA,09/07/2020 09:45:36 AM, Insect infestation
Cities 2020,2020,834229,Municipality of Bragado,Argentina,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme Precipitation > Hail,NA,NA,09/07/2020 09:45:36 AM, Hail
Cities 2020,2020,54092,City of Ann Arbor,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,54124,City of Fremont,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Water Scarcity > Drought,NA,NA,09/07/2020 09:45:36 AM, Drought
Cities 2020,2020,55325,Município de Águeda,Portugal,Europe,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Flood and sea level rise > River flood,NA,NA,09/07/2020 09:45:36 AM, River flood
Cities 2020,2020,834406,Municipality of San Pedro Tlaquepaque,Mexico,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme hot temperature > Extreme hot days,NA,NA,09/07/2020 09:45:36 AM, Extreme hot days
Cities 2020,2020,53829,"City of Kingston, ON",Canada,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Biological hazards > Vector-borne disease,NA,NA,09/07/2020 09:45:36 AM, Vector-borne disease
Cities 2020,2020,60394,Gobierno Autónomo Municipal de Tarija,Bolivia (Plurinational State of),Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Storm and wind > Severe wind,NA,NA,09/07/2020 09:45:36 AM, Severe wind
Cities 2020,2020,59535,"Town of Vail, CO",United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Water Scarcity > Drought,NA,NA,09/07/2020 09:45:36 AM, Drought
Cities 2020,2020,54048,City of Knoxville,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme Precipitation > Hail,NA,NA,09/07/2020 09:45:36 AM, Hail
Cities 2020,2020,49347,City of Omaha,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme hot temperature > Heat wave,NA,NA,09/07/2020 09:45:36 AM, Heat wave
Cities 2020,2020,43907,City of Indianapolis,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Storm and wind > Tornado,NA,NA,09/07/2020 09:45:36 AM, Tornado
Cities 2020,2020,60318,Prefeitura de Porto Velho,Brazil,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Wild fire > Forest fire,"O estudo ""Índice de vulnerabilidade aos desastres naturais (IVDNS) relacionados às secas no contexto da mudança do clima / MMA, Ml, WWF-Brasil. – Brasília, DF, 2017"" destaca para a REGIÃO NORTE em geral que:Algumas áreas cultivadas  podem ser impactadas devido aos elevados índices de Exposição Climática e, consequentemente, de Vulnerabilidade. Impactos esses que podem ser cruciais para a operação de usinas hidrelétricas instaladas (FEARNSIDE, 2012). Como a região é coberta em grande parte por florestas, do ponto de vista socioeconômico, espera-se um menor impacto relacionado às Secas. Porém, como essas áreas são ricas em biodiversidade e recursos naturais,  populações tradicionais dependem do equilíbrio climático atual para sua subsistência, devendo-se assim dar especial atenção ao desmatamento, ao rompimento da resiliência e da capacidade de suporte das populações tradicionais aí residentes. O estudo considera o IVDNS especifico de PORTO VELHO como ""moderado"" a ""moderadamente alto"".",NA,09/07/2020 09:45:36 AM, Forest fire
Cities 2020,2020,73645,KwaDukuza,South Africa,Africa,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Storm and wind > Lightning / thunderstorm,NA,NA,09/07/2020 09:45:36 AM, Lightning / thunderstorm
Cities 2020,2020,62791,City of Botosani,Romania,Europe,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Chemical change > Atmospheric CO2 concentrations,NA,NA,09/07/2020 09:45:36 AM, Atmospheric CO2 concentrations
Cities 2020,2020,46514,City of Porto,Portugal,Europe,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Storm and wind > Storm surge,NA,NA,09/07/2020 09:45:36 AM, Storm surge
Cities 2020,2020,840244,Prefeitura de Águas da Prata,Brazil,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,31173,Comune di Milano,Italy,Europe,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme Precipitation > Heavy snow,NA,NA,09/07/2020 09:45:36 AM, Heavy snow
Cities 2020,2020,43938,"The Executive Council, Govt of Dubai",United Arab Emirates,Middle East,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Flood and sea level rise > Coastal flood,NA,NA,09/07/2020 09:45:36 AM, Coastal flood
Cities 2020,2020,35274,"City of Portland, ME",United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Storm and wind > Cyclone (Hurricane / Typhoon),NA,NA,09/07/2020 09:45:36 AM, Cyclone (Hurricane / Typhoon)
Cities 2020,2020,60656,"City of Piedmont, CA",United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Mass movement > Landslide,NA,NA,09/07/2020 09:45:36 AM, Landslide
Cities 2020,2020,57616,"City of Lake Forest, IL",United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Flood and sea level rise > Flash / surface flood,NA,NA,09/07/2020 09:45:36 AM, Flash / surface flood
Cities 2020,2020,36261,Comune di Bolzano,Italy,Europe,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Water Scarcity > Drought,NA,NA,09/07/2020 09:45:36 AM, Drought
Cities 2020,2020,53829,"City of Kingston, ON",Canada,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme hot temperature > Extreme hot days,NA,NA,09/07/2020 09:45:36 AM, Extreme hot days
Cities 2020,2020,35858,City of Cape Town,South Africa,Africa,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Storm and wind > Extra tropical storm,NA,NA,09/07/2020 09:45:36 AM, Extra tropical storm
Cities 2020,2020,54652,Prefeitura de Osasco,Brazil,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,NA,Consulte dados sobre Água - Recursos Hídricos,NA,09/07/2020 09:45:36 AM,NA
Cities 2020,2020,31173,Comune di Milano,Italy,Europe,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme cold temperature > Extreme cold days,NA,NA,09/07/2020 09:45:36 AM, Extreme cold days
Cities 2020,2020,35879,City of Minneapolis,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Flood and sea level rise > Flash / surface flood,NA,NA,09/07/2020 09:45:36 AM, Flash / surface flood
Cities 2020,2020,43907,City of Indianapolis,United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Water Scarcity > Drought,NA,NA,09/07/2020 09:45:36 AM, Drought
Cities 2020,2020,63862,"City of Ashland, OR",United States of America,North America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Wild fire > Forest fire,NA,NA,09/07/2020 09:45:36 AM, Forest fire
Cities 2020,2020,54696,XIV Ayuntamiento de La Paz,Mexico,Latin America,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,35886,Comune di Torino,Italy,Europe,Climate Hazards and Vulnerability,Climate Hazards,2.1,"Please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. Please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.",1,Climate Hazards,Extreme hot temperature > Heat wave,NA,NA,09/07/2020 09:45:36 AM, Heat wave
